A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/1.html. 
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/1.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,2013-01-02 14:00,2013,1,2,14,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 15:00,2013,1,2,15,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 16:00,2013,1,2,16,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 17:00,2013,1,2,17,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 18:00,2013,1,2,18,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 19:00,2013,1,2,19,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 20:00,2013,1,2,20,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 21:00,2013,1,2,21,21,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 22:00,2013,1,2,22,27,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-02 23:00,2013,1,2,23,23,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 00:00,2013,1,3,0,21,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 01:00,2013,1,3,1,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 02:00,2013,1,3,2,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 03:00,2013,1,3,3,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 04:00,2013,1,3,4,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 05:00,2013,1,3,5,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 06:00,2013,1,3,6,13,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 07:00,2013,1,3,7,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 08:00,2013,1,3,8,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 09:00,2013,1,3,9,29,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 10:00,2013,1,3,10,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 11:00,2013,1,3,11,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 12:00,2013,1,3,12,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 13:00,2013,1,3,13,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 14:00,2013,1,3,14,26,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 15:00,2013,1,3,15,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 16:00,2013,1,3,16,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 17:00,2013,1,3,17,25,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 18:00,2013,1,3,18,34,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 19:00,2013,1,3,19,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 20:00,2013,1,3,20,36,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 21:00,2013,1,3,21,42,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 22:00,2013,1,3,22,40,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-03 23:00,2013,1,3,23,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 00:00,2013,1,4,0,33,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 01:00,2013,1,4,1,35,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 02:00,2013,1,4,2,58,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 03:00,2013,1,4,3,56,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 04:00,2013,1,4,4,62,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 05:00,2013,1,4,5,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 06:00,2013,1,4,6,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 07:00,2013,1,4,7,41,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 08:00,2013,1,4,8,41,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 09:00,2013,1,4,9,39,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 10:00,2013,1,4,10,48,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 11:00,2013,1,4,11,59,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 12:00,2013,1,4,12,63,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 13:00,2013,1,4,13,74,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 14:00,2013,1,4,14,69,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 15:00,2013,1,4,15,79,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 16:00,2013,1,4,16,89,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 17:00,2013,1,4,17,94,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 18:00,2013,1,4,18,113,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 19:00,2013,1,4,19,132,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 20:00,2013,1,4,20,186,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 21:00,2013,1,4,21,205,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 22:00,2013,1,4,22,204,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-04 23:00,2013,1,4,23,198,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 00:00,2013,1,5,0,176,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 01:00,2013,1,5,1,111,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 02:00,2013,1,5,2,140,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 03:00,2013,1,5,3,78,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 04:00,2013,1,5,4,30,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 05:00,2013,1,5,5,31,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 06:00,2013,1,5,6,34,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 07:00,2013,1,5,7,29,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 08:00,2013,1,5,8,40,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 09:00,2013,1,5,9,43,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 10:00,2013,1,5,10,43,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 11:00,2013,1,5,11,39,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 12:00,2013,1,5,12,38,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 13:00,2013,1,5,13,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 14:00,2013,1,5,14,37,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 15:00,2013,1,5,15,36,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 16:00,2013,1,5,16,41,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 17:00,2013,1,5,17,49,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 18:00,2013,1,5,18,69,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 19:00,2013,1,5,19,86,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 20:00,2013,1,5,20,73,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 21:00,2013,1,5,21,64,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 22:00,2013,1,5,22,72,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-05 23:00,2013,1,5,23,72,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 00:00,2013,1,6,0,49,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 01:00,2013,1,6,1,48,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 02:00,2013,1,6,2,34,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 03:00,2013,1,6,3,40,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 04:00,2013,1,6,4,39,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 05:00,2013,1,6,5,30,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 06:00,2013,1,6,6,32,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 07:00,2013,1,6,7,41,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 08:00,2013,1,6,8,45,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 09:00,2013,1,6,9,61,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 10:00,2013,1,6,10,50,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 11:00,2013,1,6,11,65,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 12:00,2013,1,6,12,70,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 13:00,2013,1,6,13,78,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 14:00,2013,1,6,14,108,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 15:00,2013,1,6,15,142,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 16:00,2013,1,6,16,193,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 17:00,2013,1,6,17,204,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 18:00,2013,1,6,18,266,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 19:00,2013,1,6,19,335,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 20:00,2013,1,6,20,392,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 21:00,2013,1,6,21,413,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 22:00,2013,1,6,22,339,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-06 23:00,2013,1,6,23,285,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 00:00,2013,1,7,0,236,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 01:00,2013,1,7,1,173,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 02:00,2013,1,7,2,159,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 03:00,2013,1,7,3,128,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 04:00,2013,1,7,4,99,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 05:00,2013,1,7,5,89,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 06:00,2013,1,7,6,88,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 07:00,2013,1,7,7,84,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 08:00,2013,1,7,8,71,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 09:00,2013,1,7,9,76,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 10:00,2013,1,7,10,78,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 11:00,2013,1,7,11,89,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 12:00,2013,1,7,12,102,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 13:00,2013,1,7,13,113,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 14:00,2013,1,7,14,134,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 15:00,2013,1,7,15,33,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 16:00,2013,1,7,16,133,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 17:00,2013,1,7,17,150,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 18:00,2013,1,7,18,164,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 19:00,2013,1,7,19,194,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 20:00,2013,1,7,20,233,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 21:00,2013,1,7,21,250,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 22:00,2013,1,7,22,299,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-07 23:00,2013,1,7,23,333,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 00:00,2013,1,8,0,357,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 01:00,2013,1,8,1,390,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 02:00,2013,1,8,2,326,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 03:00,2013,1,8,3,402,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 04:00,2013,1,8,4,365,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 05:00,2013,1,8,5,257,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 06:00,2013,1,8,6,135,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 07:00,2013,1,8,7,159,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 08:00,2013,1,8,8,170,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 09:00,2013,1,8,9,36,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 10:00,2013,1,8,10,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 11:00,2013,1,8,11,20,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 12:00,2013,1,8,12,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 13:00,2013,1,8,13,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 14:00,2013,1,8,14,14,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 15:00,2013,1,8,15,11,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 16:00,2013,1,8,16,16,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 17:00,2013,1,8,17,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 18:00,2013,1,8,18,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 19:00,2013,1,8,19,21,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 20:00,2013,1,8,20,21,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 21:00,2013,1,8,21,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 22:00,2013,1,8,22,19,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-08 23:00,2013,1,8,23,23,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 00:00,2013,1,9,0,29,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 01:00,2013,1,9,1,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 02:00,2013,1,9,2,18,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 03:00,2013,1,9,3,24,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 04:00,2013,1,9,4,22,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 05:00,2013,1,9,5,17,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 06:00,2013,1,9,6,27,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 07:00,2013,1,9,7,44,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 08:00,2013,1,9,8,46,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 09:00,2013,1,9,9,35,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 10:00,2013,1,9,10,48,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 11:00,2013,1,9,11,59,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 12:00,2013,1,9,12,69,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 13:00,2013,1,9,13,72,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 14:00,2013,1,9,14,59,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 15:00,2013,1,9,15,57,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 16:00,2013,1,9,16,67,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 17:00,2013,1,9,17,75,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 18:00,2013,1,9,18,15,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 19:00,2013,1,9,19,38,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 20:00,2013,1,9,20,41,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 21:00,2013,1,9,21,63,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 22:00,2013,1,9,22,234,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-09 23:00,2013,1,9,23,305,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 00:00,2013,1,10,0,304,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 01:00,2013,1,10,1,303,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 02:00,2013,1,10,2,221,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 03:00,2013,1,10,3,179,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 04:00,2013,1,10,4,162,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 05:00,2013,1,10,5,111,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 06:00,2013,1,10,6,114,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 07:00,2013,1,10,7,81,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 08:00,2013,1,10,8,56,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 09:00,2013,1,10,9,63,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 10:00,2013,1,10,10,79,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 11:00,2013,1,10,11,84,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 12:00,2013,1,10,12,97,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 13:00,2013,1,10,13,111,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 14:00,2013,1,10,14,167,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 15:00,2013,1,10,15,279,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 16:00,2013,1,10,16,395,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 17:00,2013,1,10,17,449,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 18:00,2013,1,10,18,389,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 19:00,2013,1,10,19,421,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 20:00,2013,1,10,20,486,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 21:00,2013,1,10,21,486,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 22:00,2013,1,10,22,488,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-10 23:00,2013,1,10,23,434,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 00:00,2013,1,11,0,425,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 01:00,2013,1,11,1,418,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 02:00,2013,1,11,2,416,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 03:00,2013,1,11,3,402,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 04:00,2013,1,11,4,429,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 05:00,2013,1,11,5,408,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 06:00,2013,1,11,6,456,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 07:00,2013,1,11,7,434,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 08:00,2013,1,11,8,391,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 09:00,2013,1,11,9,377,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 10:00,2013,1,11,10,377,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 11:00,2013,1,11,11,361,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 12:00,2013,1,11,12,343,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 13:00,2013,1,11,13,356,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 14:00,2013,1,11,14,353,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 15:00,2013,1,11,15,340,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 16:00,2013,1,11,16,146,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 17:00,2013,1,11,17,216,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 18:00,2013,1,11,18,291,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 19:00,2013,1,11,19,325,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 20:00,2013,1,11,20,292,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 21:00,2013,1,11,21,371,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 22:00,2013,1,11,22,369,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-11 23:00,2013,1,11,23,374,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 00:00,2013,1,12,0,391,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 01:00,2013,1,12,1,442,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 02:00,2013,1,12,2,425,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 03:00,2013,1,12,3,442,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 04:00,2013,1,12,4,287,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 05:00,2013,1,12,5,275,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 06:00,2013,1,12,6,174,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 07:00,2013,1,12,7,278,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 08:00,2013,1,12,8,-999,µg/m³,1 Hr,Missing
Beijing,PM2.5,2013-01-12 09:00,2013,1,12,9,319,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 10:00,2013,1,12,10,383,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 11:00,2013,1,12,11,472,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 12:00,2013,1,12,12,458,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 13:00,2013,1,12,13,529,µg/m³,1 Hr,Valid
Beijing,PM2.5,2013-01-12 14:00,2013,1,12,14,802,µg/m³,1 Hr,Valid
